
I	私は(が)
his	彼のもの
bad	悪い
egg	卵
bed	ベッド
wet	濡れている
bag	カバン
aid	援助／…を助ける
tip	先，先端
red	赤い
lay	…を横たえる
and	～と
bat	バット
bar	棒，横木
law	法律
law	法律，法則
dry	乾く
day	日
all	みんな
how	どのくらい
who	だれ
form	形態／…を形成する
east	東
fall	秋
best	一番良い
skin	皮膚，皮膜
tone	音，音色，（声・ことばの）調子，
fair	公平な，かなりの
gray	灰色
high	高い
gram	グラム
fail	失敗する
bath	風呂
fail	失敗する
band	バンド
meal	食事
bear	…を我慢する
vary	さまざまである
ball	ボール
site	場所，用地
tiny	ごく小さい
vast	非常に大きな
land	陸地，土地
sink	沈む
beer	ビール
sing	歌う
gold	金
fact	事実
lake	湖
silk	絹
back	裏の，後ろの
sign	兆候／…に署名をする
bell	ベル
sign	合図，標識
goal	得点，ゴール
fact	事実
your	あなたの，あなたがたの
side	側面，側
this	これは
side	側面
lazy	怠け者の
sick	病気で(の)
give	与える，(会などを)開く
show	見せる
lady	婦人
show	ショー
away	離れて
meal	食事
they	それらは，彼(女)らは
face	…に直面する
lack	不足，欠落／…がない
face	顔
hair	髪
shop	買い物をする
leaf	葉
shop	店
left	左
very	非常に
lend	貸す
shoe	靴
blow	吹く
mean	意味する
blue	青い
mean	…を意味する，…を意図する
body	身体
ship	船
bomb	爆弾
meat	肉
gaze	じっと見つめる
meet	会う
tour	小旅行
melt	溶ける，…を溶かす
both	両方
able	できる，有能な
hand	手渡す
menu	メニュー
hang	…をつるす，…を絞首刑にする
mile	マイル
them	彼(女)らを(に)
milk	牛乳
know	知っている
mind	精神
hard	いっしょうけんめい
mind	アタマ，思考／…を嫌がる
that	あれは
mine	私のもの
fund	資金，基金
miss	間違う，いなくてさみしく思う
harm	害／…を害する
miss	…が（い）ないのを寂しく思う，…に乗り損なう，ミスする
full	いっぱいの，満腹である
view	眺め，見方／…を見る，…を～と見なす
like	好む
cook	料理する
test	試験
cool	涼しい
bury	…を埋める
mitt	ミット
term	期間，学期，用語，条件，間柄
cope	対処する
king	王様
copy	模写する
trap	わな／…をわなにかける
copy	（本・雑誌などの）一冊／…をまねる
tent	テント
hill	丘
calm	落ちついた
June	６月
tend	…する傾向がある
cost	…を（費用として）必要とさせる／費用
kind	種類
mood	気分
tell	教える，語る
send	送る
tear	涙
sell	売る
hate	…をひどく嫌う
self	自己，自我
line	行，列
seem	…であるようだ
taxi	タクシー
seem	～のように思われる
task	仕事，作業
moon	月
card	カード
most	ほとんど
care	世話，管理
hire	…を雇う
tape	テープ
most	大半／最も…
talk	話す
move	動く，感動させる
head	頭，先頭
seek	…を求める
case	場合，事例
seed	種子
take	(時間が)かかる，連れて行く，持っていく，取る
vote	投票する／投票
list	リスト
crew	乗組員，一団
load	積み荷／…を積む
much	ずっと，たいへん
cave	ほら穴
seat	…を着席させる／席
swim	泳ぐ
seat	座席
cent	セント
wage	賃金
sure	確信して，確実な
much	多量の
yell	大声を上げる
wait	待つ
suit	…に適合する／訴訟
crop	収穫物
four	4
wake	目が覚める
long	長く
myth	神話
such	そのような
name	名前
type	型
name	名づける
lose	失う，負ける
jump	跳ぶ
stop	止める，止まる
save	…を省く，…を救う，…を貯蓄する
loss	失うこと，損失
save	救う，とっておく，節約する
Asia	アジア
same	同じ
foot	足
July	７月
step	措置，歩み
cure	…を治療する
fool	馬鹿
salt	塩
stay	…のままである，とどまる
sail	(船を)走らせる
fond	好きで
safe	安全な
love	愛する
walk	散歩
year	年
rush	突進する，ダッシュする
flow	流れる／流れ
rush	殺到
luck	運，幸運
neck	首
keep	保つ，～を(持ち)続ける
walk	歩く
five	5
cute	可愛い
fish	魚
want	欲しい
fire	…を首にする
exam	試験
lung	肺
warm	温暖な
fine	うまく
rule	…を統治する／規則，習慣
find	見つける，～とわかる
need	必要な
main	主な
ruin	…を台無しにする
coat	コート
dare	思い切って…する，生意気にも…する
coin	硬貨
dark	暗い，黒い
fill	いっぱいにする
date	日付
many	多くの
date	デートする
army	陸軍
warn	…に警告する
soup	スープ
dear	親愛なる
feel	感じる
nest	巣
mark	しるし，（試験の）点数／…の印となる
rude	失礼な
sort	種類
debt	借金，負債
soon	すぐに
wash	洗う
some	いくつかの
hold	握る，開催する，差し出す
arms	武器，兵器
evil	邪悪な，悪の
soil	土，土壌
hold	…を（一時的に）持っている
sofa	ソファー
hole	穴
fast	速く
rose	バラ
fast	速い
root	根，根源／…を根づかせる
farm	農場
deep	深い
hers	彼女のもの
root	根
keen	切望した，熱意のある
roof	屋根
fall	落ちる
roll	転がる
last	最後
rock	ロック
grow	成長する，になる，増加する，育てる，栽培する
road	道
bear	クマ
news	ニュース
bake	オーブンで焼く
next	次の，隣の
beef	牛肉
risk	危険，…を危険にさらす
time	時，～回
rise	上がる，昇る
baby	赤ん坊
rise	起き上がる，のぼる
belt	ベルト
ring	指輪
this	この
nice	すばらしい
gift	贈り物
ever	今まで
bind	…を縛りつける
nine	9
lead	…の先頭に立つ，つながる
ride	乗る
leap	跳ぶ
deny	…を否定する
gene	遺伝子
rich	金持ちの，豊かな
boat	ボート
rice	ご飯
book	本
rest	休憩，その他／休憩する
then	それから，そのとき，それでは
rest	休息する
bowl	鉢
even	～さえ
gain	…を得る／獲得
holy	神聖な
that	あの
rely	頼る，信頼する
than	よりも
home	家を(へ)
full	いっぱいの
also	もまた
fuel	燃料
real	ほんとうの
busy	忙しい
desk	机
cake	ケーキ
none	何も(だれも)～ない
calm	穏やかな，落ち着いた
read	読む
tree	木
noon	正午
line	線，列
wave	波
have	持っている，食べる
nose	鼻
trip	旅行
home	故郷，家
care	気にかける／注意，関心
join	参加する
tale	お話
hope	希望
cash	現金
rate	率，割合
live	住む，生きる
hope	望む
free	自由な，ひまな
rare	まれな
turn	曲がる，回る，変化する
rank	階級，地位
kill	殺す
host	主人
long	長い
note	メモ／…に注目［注意］する
lord	封建君主，…卿，（（大文字で））神
weak	弱い
stop	停留所
wear	着る
lost	道に迷った。
diet	（日常の）食事，ダイエット
love	愛，愛する人
hour	時間
food	食べ物
wear	…を身につけている
stay	滞在する
week	週
hear	聞く
rain	雨が降る
flat	平らな
rain	雨
urge	…を（強く）促す［要請する］／願望
huge	巨大な
fire	火
race	競走，人種
fine	すばらしい，元気な，晴れた
quiz	クイズ
club	クラブ
well	よく，じょうずに
cold	冷たい，寒い
once	かつて，１度
help	助ける
well	健康な
come	来る
quit	（…を）やめる
sort	種類
open	開ける
song	歌
open	開いている
area	地域，面積
west	西
area	地域
what	何
mass	塊，集団，大衆
push	押す
math	数学
when	～するとき
just	ちょうど，ただ単に
item	項目
band	（音楽の）バンド，一団
ours	私たちのもの
tiny	小さな
hunt	狩りをする
tide	潮，風潮
hunt	捜し求める
bend	…を曲げる
hurt	傷つける
bill	請求書，紙幣，法案
page	ページ
bite	…を噛む，…を刺す
pain	痛み
blow	（…を）吹く／打撃
pain	痛み
hall	玄関の広間，ろうか
dish	皿，料理
game	試合
pray	祈る
life	生活，人生，生命
else	そのほかに
test	試みる
pair	一組
frog	カエル
pour	…を注ぐ
camp	キャンプ
hurt	…を傷つける
team	チーム
post	郵便
care	気にする
port	港
case	場合，容器
pork	ブタ肉
free	束縛のない，無料の，暇な
zone	地帯
sure	確信して
poor	貧乏な，かわいそうな，不十分な
look	見る，～に見える
pond	池
lose	…を失う，負ける
idea	考え
step	足元，階段
poem	詩
fold	…を折りたたむ
play	劇
star	星，スター
idea	考え，思いつき
mail	郵便
play	遊ぶ，(スポーツを)をする，演奏する
film	映画
iron	鉄
mark	印
doll	人形
fear	…を恐れる／恐れ
pale	青ざめた
soil	土
part	部分
here	ここに
pass	過ぎる，合格する，手渡す
last	この前の，最後の
door	ドア
good	良い
past	過去の
glad	うれしい
down	下に
half	半分
past	過去の／過去
hand	手
draw	描く，引く
text	本文，書かれたもの
draw	…を引きつける
call	電話をかける
wide	幅が広い
lion	ライオン
wife	妻
kind	親切な
plan	計画する
suit	スーツ
wild	荒々しい，野生の
loud	(声の)大きい
wind	風
luck	運
plan	計画
mail	郵便／…を投函する
drop	落とす
feed	…に食べ物を与える，…を養う
drug	麻薬，薬
snow	雪
wine	ワイン
beat	…をうち負かす
duck	あひる
bird	鳥
wish	望む
life	生活，生命，人生
dull	面白みのない，鈍い
tear	…を引き裂く／涙
dumb	口のきけない
cell	細胞
pick	選ぶ，摘む
stay	滞在
wood	木材
make	作る，～を～にする
each	おのおのの
slow	遅い
word	言葉
boil	ゆでる，煮る
work	仕事，作品
tall	背の高い
firm	しっかりした，堅い／会社
easy	やさしい，気楽に
earn	…を稼ぐ
work	働く
pile	積み重ね，「山」
fate	運命
fork	フォーク
kiss	キスをする
goal	目標，目的
imply	…をほのめかす
state	状態，国家，州
write	書く，手紙を書く
civil	公民の，（軍事に対し）民間の
place	場所／…を置く
steal	…をこっそり盗む
early	早く
steam	蒸気
early	早い
stick	くっつく，固執する／棒きれ
piece	断片
China	中国
plain	簡素な，無地の／高原
child	子供
photo	写真
force	力／…を［に］強制する
phone	電話
still	まだ
drink	飲む
stock	株，在庫／…を在庫に持つ
eight	8
stone	石
dream	夢
charm	魅力／…を魅了する
plane	飛行機
story	話
plant	植物
strip	細長い一片［地域］／…をはぎ取る
party	パーティー
study	勉強する
paper	新聞，書類，レポート，論文
stuff	モノ
pants	ズボン
forth	4番目の
point	点
sugar	砂糖
power	力，権力，大国
forty	40
press	…を押す／マスコミ
chalk	チョーク
price	値段
found	…を設立する
prime	主要な，最重要の
chair	いす
prize	賞
chain	くさり
proof	証拠
logic	論理，理屈
other	ほかの
local	地元の
order	命令，秩序／…に命じる，…を注文する
sweep	…を掃く，…を掃くように動かす
enemy	敵
cease	…をやめる，終わる
orbit	軌道
cause	原因／…の原因となる，…に～させる
quick	速い
table	テーブル
enjoy	楽しむ
catch	…に乗るのに間に合う，…が～しているのを見つける
quite	まったく
catch	捕まえる，(列車に)間に合う
enter	入る
fresh	新鮮な
radio	ラジオ
carry	運ぶ
offer	…を申し出る／申し出
taste	味／…な味がする
raise	(手などを)あげる，持ち上げる，育てる
teach	教える
raise	…を上げる
candy	キャンディー
range	範囲／範囲が及ぶ
tenth	10番目の
diary	日記
front	前
reach	着く，届く
limit	限度，制限／…を制限する
north	北
fruit	果物
react	反応する
burst	破裂する，…を破裂させる
noisy	騒がしい
build	建てる
refer	言及する，述べる
brush	筆
ninth	9番目の
brown	茶色の
right	右，権利
fully	十分に，完全に
night	夜
bring	持って来る
every	毎～
light	薄い
delay	…を遅らせる
thank	感謝する
rough	ごつごつした，粗い，大雑把な
light	光，明かり，信号
round	まわりに(を)
brief	短い
death	死
funny	おかしな
exact	正確な
their	彼(女)らの
daily	毎日の
break	壊れる，破る
crowd	群衆，人混み
bread	パン
cross	…を横切る／不機嫌な
brave	勇敢な
music	音楽
brain	頭脳
crime	犯罪
theme	テーマ
mouth	口
there	そこに
crash	衝突／衝突する
bored	退屈した
cover	おおう
these	これらは
month	月
blood	血
money	お金
level	レベル，水準，程度
model	模型
blood	血
serve	…の役に立つ，…に仕える
lemon	レモン
shade	陰
legal	法律の，合法な
shade	日陰
block	…を妨げる
shame	恥，不名誉，残念なこと
blink	まばたきをする／まばたき
share	分け合う
leave	去る，残す，置いて行く
merry	陽気な
learn	学ぶ，覚える
sheep	羊
blind	目の見えない
shift	変化／…を変える
black	黒い
extra	余分の
these	これらの
shirt	シャツ
birth	誕生
shoot	撃つ
thick	厚い
short	短い，背が低い
thing	こと・物
sight	見ること，視力
think	考える
sixth	6番目の
worth	…の価値がある
sixty	60
glass	コップ，ガラス
maybe	たぶん，五分五分で
third	3番目の
maybe	おそらく
globe	地球
faith	信頼，信仰
glove	グローブ
sleep	眠る
bench	ベンチ
smart	頭の良い
those	あれらの
smell	においがする
those	あれらは
smile	ほお笑み
three	3
smoke	煙
throw	投げる
snowy	雪の降る
begin	始まる(める)
solve	解決する
FALSE	誤った，偽りの
fault	欠点，過失，せい
goods	商品
marry	…と結婚する
tired	疲れて
marry	結婚する
beach	砂浜
sound	(～のように)聞こえる
grade	評点，等級
color	色
toast	トースト
fence	塀
laugh	笑う
space	宇宙
today	今日，現在
spare	予備の／＜時間・手間＞をさく
later	後に，…後
fifth	5番目の
grand	壮大な
fight	戦う
later	後で
spend	費やす，過ごす
basis	土台，基礎
final	最後の
grant	給付金／…を与える
cloud	雲
grape	ブドウ
cloth	布
grasp	…をつかむ，…を理解する
close	近い，親密な
grass	草
close	閉じる
grave	墓／深刻な
cling	しがみつく，固執する
basic	基本的な，基礎的な
first	1番目の
great	すばらしい，広大な
lucky	好運な
green	緑の
stand	立つ
greet	…にあいさつをする
flame	炎
based	基づいている
clean	きれいな
large	大きい，広い
float	浮かぶ
group	グループ
class	階級，等級，授業，学級
tooth	歯
focus	焦点／…を集中する
badly	ひどく，悪く
earth	地球，大地
tooth	歯
eager	強く望んでいる
guard	…の警護［監視］をする／警護者，監視者
piano	ピアノ
guess	…だと思う，…を推測する／当てずっぽう
drive	運転する
guest	客
peace	平和
guide	案内人
doubt	疑い／…を疑う
guide	案内人，案内書／…を案内する
plant	植物
awful	ひどい
plate	皿
aware	気づいている
paint	描く，(～に)ペンキを塗る
awake	目を覚ましている
owner	所有者
awake	目が覚める
empty	何も入っていない，空の
habit	習慣
prove	…を証明する，…だと判明する
habit	（個人の）習慣，癖
order	注文する
avoid	…を避ける
quiet	静かな
touch	触れる，感動する
quite	かなり，全く
tough	頑強な
often	しばしば
tower	塔
ocean	大洋
trace	…の跡［起源］を辿る／跡，痕跡
equal	等しい／…に等しい
labor	労働
reach	…に到着する，…に手が届く
trade	貿易
ready	用意できている
trade	貿易，…を交換する
reply	返事
knock	ノックする
event	出来事，行事
knife	ナイフ
right	正しい／権利
happy	幸福な，楽しい
never	１度も～ない
trail	通った跡，でこぼこ道
nerve	神経
train	列車
rural	田舎の
train	訓練する
cross	横切る
trait	特性，特徴
crazy	気の狂った
treat	…を扱う
cover	…を覆う，…（の範囲を）カバーする
trial	裁判，試み
exist	存在する
tribe	部族
sense	感覚，意味
trick	…をだます／手品，こつ
minor	小さな，重要度の低い
yours	あなたのもの，あなたがたのもの
shape	形／…を形作る
trust	信頼，信用／…を信頼［信用］する
share	…を分かち合う
truth	真実
medal	メダル
twice	２回
shock	ショック
union	統合
shout	叫ぶ
upset	気持ちが動揺した／…の心をかき乱す
young	若い
heart	心
skill	技能
arrow	矢
skirt	スカート
heavy	重い，大量の
match	試合／…と調和する
urban	都会の，都市の
match	試合
hello	こんにちわ
solid	固い／固体
wrong	間違った
favor	親切な行為
arise	起こる，生じる
sound	音
argue	（感情的に）論じる，…だと主張する
March	３月
April	４月
field	分野，領域，野原，畑
usual	通常の
fifty	50
apply	…を適用する，当てはまる
spend	…を費やす
value	価値／…を重んじる
sport	スポーツ
apple	りんご
close	接近した
video	ビデオ
lunch	昼食
apart	離れて
stamp	切手
virus	ウイルス
clean	掃除する
visit	訪問する
start	出発する，～を始める
vital	極めて重要な，必要不可欠な
claim	…が自分のものだと主張する
voice	声
dwell	住む
annoy	…をいらだたせる
dress	着る
angry	怒って
party	政党，当事者
anger	怒り
power	力
juice	ジュース
print	印刷する
amuse	…を楽しませる
enemy	敵
waste	浪費
dirty	汚れた
hobby	趣味
rainy	雨降りの
waste	…を浪費する／浪費，廃棄物
equip	…に備え付ける［身につけさせる］
watch	腕時計
noise	物音
watch	見る
right	正しい，右に
judge	…を判断する／審判員，裁判官
round	丸い
water	水
crowd	群衆
alter	…を変える
mouse	はつかねずみ
aloud	声に出して
sense	感じ
alone	ひとりきりで
shake	震える
allow	…を許可する，…が～するのを許す
melon	メロン
alive	生きている
shore	岸，海岸
alike	よく似た
skate	スケートをする
honey	蜂蜜
small	小さな
honor	名誉，敬意
snake	蛇
album	アルバム
sorry	残念な
alarm	懸念／…に懸念を抱かせる
south	南
horse	馬
major	主な，大きな／専攻する
wrong	間違った，ぐあいが悪い
stage	段階，舞台
ahead	前方に
climb	登る
agree	同意する，賛成する
stare	…をじっと見つめる
jewel	宝石
place	場所
agent	代理人，代理店
pause	話し［行動］を中断する／間（ま），小休止
jeans	ジーンズ
price	価格
again	再び
queen	女王
weigh	…の重さがある
novel	小説／新奇な
human	人間の
reply	返答する／返答
human	人間の／人間
dance	踊る
after	～の後で
count	重要である，数える
where	どこに
meter	メートル
youth	若さ
silly	馬鹿な
youth	若さ，青年期，青少年
smell	…な臭いがする，…の臭いをかぐ
which	どちら
sound	…に聞こえる／音
while	～する間
spoil	…を台無しにする
hurry	急ぐ
clerk	事務員
while	…である一方で，…している間に
phone	電話／…に電話をかける
white	白い
proud	自慢に思って
issue	問題，（雑誌などの）号／…を出す
error	ミス，間違い
whole	すべての
scare	…を怯えさせる，…をびっくりさせる
adopt	…を自分のものにする
shine	光る，輝く
admit	…を認める
solve	…を解く
whole	…の全て，全体の
clock	置き時計
ideal	理想／理想の
paper	紙，レポート
whose	だれの(もの)
river	川
fairy	妖精
worry	…を心配させる／心配
worry	悩ませる
adapt	…を適合［適応］させる
inner	内部の
speak	話す
seven	7
enter	…に入る
class	学級，授業
junior	ポストが下の，下級の／年下の人
cloudy	曇った
orange	オレンジ
coffee	コーヒー
abroad	外国で，外国へ
finger	指
absorb	…を吸収する，…を没頭させる
speech	話，スピーチ，演説
accept	…を受け入れる
speech	演説
access	アクセス，使用［閲覧］する機会［権利］
colony	植民地
yellow	黄色の
figure	数字，姿，人物
accuse	…を非難［告発］する
commit	＜罪など＞を犯す
action	行動
common	共通の
wonder	不思議に思う
mammal	哺乳動物
wisdom	知恵
manage	何とかうまくやる，管理を行う
income	所得
common	一般的な，共通の
widely	広範囲に
manner	やり方，方法
indeed	確かに
social	社会の，社交の
admire	…をすばらしいと思う，…を賞賛する
soccer	サッカー
advice	助言
slowly	ゆっくりと
advise	…にアドバイスする［勧める］
female	雌の，女性の／雌，女性
affect	…に影響を与える
slight	かすかな
afford	…の余裕がある
sleepy	眠い
inform	…に知らせる
market	市場
weight	重さ，体重
market	市場
injury	けが
single	一つの，一人の，独身の
weapon	武器
simply	単に
inside	内側
simple	簡単な，質素な
insist	要求する，主張する
silver	銀
always	いつも
silent	静かな
wander	ぶらつく，放浪する
master	主人，達人／…を習得する
annual	毎年の
farmer	農場主
answer	答える
famous	有名な
intend	意図する，つもりである
signal	信号
vision	未来像，ビジョン
famous	有名な
virtue	徳，美徳，長所
matter	問題，困ったこと
victim	犠牲者
matter	事柄／重要である
verbal	ことばの，口頭での
mature	成熟した
useful	役に立つ
severe	厳しい
arrive	到着する
fairly	かなり，公平に
invent	…を発明する
convey	…を伝える，…を運ぶ
unlike	…とは違って
settle	…を決着させる，落ち着く
invite	招待する
factor	要因，要素
asleep	眠っている
corner	かど
aspect	局面
senior	ポストが上の，上級の／年上の人
hungry	空腹の
senior	年上の，上級の
twelve	12
couple	一対
itself	それ自身
select	…を選び出す
atomic	原子の，原子力の
select	選ぶ
travel	旅行
seldom	めったに…しない
honest	正直な
course	進路
August	８月
cousin	いとこ
toward	…に向かって
create	…を作り出す，…を創造する
avenue	…通り，大通り
medium	中間の
barely	かろうじて
secure	…を確保する，…を安全にする／ゆるぎない
junior	年下の，下級の
extent	程度
beauty	美
extend	延びる，…を拡張する
behave	振る舞う
member	会員
heaven	天
mental	精神の，知的な
ticket	切符
secret	秘密
health	健康
second	2番目の
though	だけれども
crisis	危機
belong	属する
critic	批評家，批判者
happen	起こる
merely	単に
handle	…を手で扱う，…にうまく対処する
season	季節
guitar	ギター
expose	…を明らかにする，…をさらす
theory	理論
method	方法
borrow	…を借りる
middle	中央
branch	枝
search	…を捜す／探索，捜索
theirs	彼(女)らのもの
export	…を輸出する／輸出
bridge	橋
scream	金切り声を上げる
burden	重荷，負担
sailor	船員
latter	後者の
custom	習慣
tennis	テニス
custom	（社会的な）習慣，慣習
Canada	カナダ
runner	ランナー
global	地球の，世界の
damage	被害
gently	やさしく
damage	損害／…に損害を与える
gentle	穏やかな，やさしい
danger	危険
genius	天才
debate	討論
carpet	じゅうたん
decade	１０年
system	体制，体系，組織
minute	分，ちょっとの間
lesson	授業，課
mirror	鏡
letter	手紙
expert	専門家
survey	調査
decide	決心する
gather	…を集める，集まる
defeat	…を負かす
future	未来
defend	…を守る
supper	夕食
define	…の意味を明確に述べる
Sunday	日曜日
degree	程度，度
likely	可能性が高い
ritual	儀式
sudden	突然の
demand	要求，需要／…を要求する
suburb	郊外
modern	現代的な
Friday	金曜日
modern	現代の，近代の
listen	聴く
expect	…を予想する，…を期待する
change	変わる
moment	瞬間，時
little	小さい，幼い，ちょっとした
Monday	月曜日
living	生きている
expand	…を拡大する
strict	厳しい，厳密な
monkey	サル
street	通り
depend	依存する，次第である
charge	非難，料金，管理／…に請求する
reward	褒美，報償／…に褒美［報償］を与える
London	ロンドン
review	論評，批評／…を論評する，…を検討する
choice	選択（肢）
reveal	…を明らかにする
circle	円
return	帰る
former	前の／前者
retire	退職する，引退する
status	社会的地位
retain	…を保持する
forest	森林
motive	動機
square	正方形
result	結果
follow	…の後を追う
excuse	言い訳／…勘弁する
flower	花
excuse	許す
flight	飛行
derive	…を引き出す
firmly	堅く，堅固に
resist	…を拒む，…に抵抗する
luxury	贅沢，贅沢品
report	報告
absent	欠席の
excite	…を興奮させる
impact	影響，衝撃
murder	(故意の）殺人／…を（故意に）殺す
impose	…を課す
museum	博物館
wonder	…かなと思う／驚き
repair	…を修理する
winter	冬
remove	…を取り除く
indeed	実に
mutual	相互の
advice	忠告
remote	遠い
affair	事柄，出来事
myself	私自身を
afraid	恐れて
remind	…に思い出させる
weekly	週刊
remark	ことば，感想／…だと述べる
insect	昆虫
except	…を除いて
almost	ほとんど
remain	…のままである，残る
animal	動物
narrow	幅が狭い
answer	答え
nation	国家，民族，国民
anyway	ともかく
desert	砂漠
appear	現れる，…のように思われる
relief	安堵，軽減
useful	役に立つ
native	生まれ故郷の，生来の
artist	芸術家
reject	…を拒絶する
unique	他に類のない，特別な
region	地域，地方
twenty	20
regard	…を～と見なす
assume	…を当然のことと思う，…を引き受ける
nature	自然
attach	…を貼り付ける，…を取り付ける
nature	自然，性質
attend	…に出席する
nearby	近くの
autumn	秋
refuse	…を拒否する
tongue	言葉，舌
desert	砂漠／…を立ち去る
become	～になる
reduce	…を減らす
behind	…の背後に／背後に
record	レコード
threat	脅威
recent	最近の
thirty	30
reason	理由，理性
borrow	借りる
reason	理由，原因
growth	成長
really	本当に
ground	根拠，理由
desire	願望／…を強く望む
bright	明るい
detail	詳細
butter	バター
device	装置，仕掛け
govern	…を統治する
devise	…を考え出す
career	(生涯にわたる）職業
evolve	進化する
talent	才能
devote	＜時間・努力＞を注ぐ
symbol	象徴
racket	ラケット
center	中央
racial	人種の
surely	確かに
dinner	夕食
sunset	日没
rabbit	ウサギ
suffer	苦しむ，…を患う
direct	直接の
subtle	微妙な
pursue	…を追い求める
chance	機会，可能性，偶然
punish	…を罰する
strike	…を叩く，…に～という印象を与える
public	公共の／大衆
stress	強調，重圧／…を強調する
proper	適切な
cheese	チーズ
profit	利益
choose	選ぶ
prince	王子
forget	忘れる
pretty	かなり
clever	利口な
pretty	かなり
lovely	美しい
ninety	90
spread	広がる，…を広げる
Europe	ヨーロッパ
abroad	外国へ
prefer	…をより好む
import	…を輸入する／輸入
nobody	だれも～ない
action	動作，行動
praise	…をほめる
adjust	…を調節する，順応する
potato	じゃがいも
infant	幼児
polite	礼儀正しい
ignore	…を無視する
policy	政策，方針
amount	量，額
police	警察
visual	視覚の，視覚的な
poison	毒
valley	谷
eraser	消しゴム
unless	…でない限り（原則として）
divide	…を分割する
hunger	飢え，空腹
pocket	ポケット
honest	正直な
plenty	たくさん
barber	床屋
please	…を喜ばせる
height	高さ
please	気に入る，喜ばせる
belong	ものである
notice	…に気づく／注意，掲示
guilty	有罪の
notion	考え，考え方
ground	地面
dollar	ドル
camera	カメラ
planet	惑星
gentle	やさしい
driver	運転手
lesson	授業，教訓
during	～の間，～を通じて
supply	供給／…に供給する
number	数
chance	機会
easily	かんたんに
strong	強い，じょうぶな
object	物体，対象，目的／反対する
locker	ロッカー
editor	編集者
steady	着実な
picnic	ピクニック
spring	春
effect	効果，影響，結果
finish	終える
obtain	…を手に入れる
across	横にさし渡し，横切って
person	人
advise	忠告する，助言する
permit	…を許可する
wealth	富，財産
period	期間，時代
appeal	訴える
people	人々
island	島
pencil	鉛筆
author	著者，作家
occupy	…を占める，…を占領する
behind	…の背後に／背後に
peanut	ピーナッツ
bottle	びん
eighth	8番目の
candle	ろうそく
eighty	80
surely	確かに
entire	全体の，…全体
stupid	馬鹿な
either	(もまた)～でない
lonely	淋しい，ひとりの
offend	…の気分を害する
flight	飛行，（飛行機の）便
eleven	11
actual	現実の，実際の
office	会社，仕事部屋，公職の地位
voyage	航海
palace	宮殿
assure	…に～だとして安心させる
emerge	現れる
border	国境
ensure	…を確実にする，…を保証する
casual	何気ない
enough	十分な
strike	打つ
employ	…を雇う
accent	（ことばの）なまり，抑揚
output	生産量，産出量
invent	発明する
enable	…に可能にさせる
latest	最新の，最近の
oppose	…に反対する
energy	エネルギー
endure	…に耐える
origin	起源
summer	夏
highly	とても，高く
afraid	心配して，怖がって
statue	像
machine	機械
